"","location","horizon","temporal_resolution","target_variable","target_end_date","type","quantile","forecast_count","value","model","forecast_date","location_name","population","geo_type","geo_value","abbreviation","full_location_name"
"1","01","1","wk","inc flu hosp",2022-01-15,"quantile",0.01,15,8.74516736984253,"Flusight-ensemble",2022-01-10,"Alabama",4903185,"state","al","AL","Alabama"
"2","01","1","wk","inc flu hosp",2022-01-15,"quantile",0.025,15,10.623625,"Flusight-ensemble",2022-01-10,"Alabama",4903185,"state","al","AL","Alabama"
"3","01","1","wk","inc flu hosp",2022-01-15,"quantile",0.05,15,12.623625,"Flusight-ensemble",2022-01-10,"Alabama",4903185,"state","al","AL","Alabama"
"4","01","1","wk","inc flu hosp",2022-01-15,"quantile",0.1,15,15.06,"Flusight-ensemble",2022-01-10,"Alabama",4903185,"state","al","AL","Alabama"
"5","01","1","wk","inc flu hosp",2022-01-15,"quantile",0.15,15,18.9847556919513,"Flusight-ensemble",2022-01-10,"Alabama",4903185,"state","al","AL","Alabama"
"6","01","1","wk","inc flu hosp",2022-01-15,"quantile",0.2,15,21.2386576580976,"Flusight-ensemble",2022-01-10,"Alabama",4903185,"state","al","AL","Alabama"
"7","01","1","wk","inc flu hosp",2022-01-15,"quantile",0.25,15,25,"Flusight-ensemble",2022-01-10,"Alabama",4903185,"state","al","AL","Alabama"
"8","01","1","wk","inc flu hosp",2022-01-15,"quantile",0.3,15,27,"Flusight-ensemble",2022-01-10,"Alabama",4903185,"state","al","AL","Alabama"
"9","01","1","wk","inc flu hosp",2022-01-15,"quantile",0.35,15,30.0944531992652,"Flusight-ensemble",2022-01-10,"Alabama",4903185,"state","al","AL","Alabama"
"10","01","1","wk","inc flu hosp",2022-01-15,"quantile",0.4,15,32.5231129851737,"Flusight-ensemble",2022-01-10,"Alabama",4903185,"state","al","AL","Alabama"
"11","01","1","wk","inc flu hosp",2022-01-15,"quantile",0.45,15,35.1875809167496,"Flusight-ensemble",2022-01-10,"Alabama",4903185,"state","al","AL","Alabama"
"12","01","1","wk","inc flu hosp",2022-01-15,"quantile",0.5,15,36.2801,"Flusight-ensemble",2022-01-10,"Alabama",4903185,"state","al","AL","Alabama"
"13","01","1","wk","inc flu hosp",2022-01-15,"quantile",0.55,15,36.8907,"Flusight-ensemble",2022-01-10,"Alabama",4903185,"state","al","AL","Alabama"
"14","01","1","wk","inc flu hosp",2022-01-15,"quantile",0.6,15,37.677,"Flusight-ensemble",2022-01-10,"Alabama",4903185,"state","al","AL","Alabama"
"15","01","1","wk","inc flu hosp",2022-01-15,"quantile",0.65,15,38.3514,"Flusight-ensemble",2022-01-10,"Alabama",4903185,"state","al","AL","Alabama"
"16","01","1","wk","inc flu hosp",2022-01-15,"quantile",0.7,15,39.2285,"Flusight-ensemble",2022-01-10,"Alabama",4903185,"state","al","AL","Alabama"
