forecast_date,target,target_end_date,quantile,value,location,type
2022-01-10,1 week ahead inc flu hosp,2022-01-15,0.01,0.0,AK,quantile
2022-01-10,2 week ahead inc flu hosp,2022-01-22,0.01,0.0,AK,quantile
2022-01-10,3 week ahead inc flu hosp,2022-01-29,0.01,0.0,AK,quantile
2022-01-10,4 week ahead inc flu hosp,2022-02-05,0.01,0.0,AK,quantile
2022-01-10,1 week ahead inc flu hosp,2022-01-15,0.025,0.0,AK,quantile
2022-01-10,2 week ahead inc flu hosp,2022-01-22,0.025,0.0,AK,quantile
2022-01-10,3 week ahead inc flu hosp,2022-01-29,0.025,0.0,AK,quantile
2022-01-10,4 week ahead inc flu hosp,2022-02-05,0.025,0.0,AK,quantile
2022-01-10,1 week ahead inc flu hosp,2022-01-15,0.05,0.0,AK,quantile
2022-01-10,2 week ahead inc flu hosp,2022-01-22,0.05,0.0,AK,quantile
2022-01-10,3 week ahead inc flu hosp,2022-01-29,0.05,0.0,AK,quantile
2022-01-10,4 week ahead inc flu hosp,2022-02-05,0.05,0.0,AK,quantile
2022-01-10,1 week ahead inc flu hosp,2022-01-15,0.1,0.0,AK,quantile
2022-01-10,2 week ahead inc flu hosp,2022-01-22,0.1,0.0,AK,quantile
2022-01-10,3 week ahead inc flu hosp,2022-01-29,0.1,0.0,AK,quantile
2022-01-10,4 week ahead inc flu hosp,2022-02-05,0.1,0.0,AK,quantile
2022-01-10,1 week ahead inc flu hosp,2022-01-15,0.15,0.0,AK,quantile
2022-01-10,2 week ahead inc flu hosp,2022-01-22,0.15,0.0,AK,quantile
2022-01-10,3 week ahead inc flu hosp,2022-01-29,0.15,0.0,AK,quantile
2022-01-10,4 week ahead inc flu hosp,2022-02-05,0.15,0.0,AK,quantile
2022-01-10,1 week ahead inc flu hosp,2022-01-15,0.2,0.0,AK,quantile
2022-01-10,2 week ahead inc flu hosp,2022-01-22,0.2,0.0,AK,quantile
2022-01-10,3 week ahead inc flu hosp,2022-01-29,0.2,0.0,AK,quantile
2022-01-10,4 week ahead inc flu hosp,2022-02-05,0.2,0.0,AK,quantile
2022-01-10,1 week ahead inc flu hosp,2022-01-15,0.25,0.0,AK,quantile
2022-01-10,2 week ahead inc flu hosp,2022-01-22,0.25,0.0,AK,quantile
2022-01-10,3 week ahead inc flu hosp,2022-01-29,0.25,0.0,AK,quantile
2022-01-10,4 week ahead inc flu hosp,2022-02-05,0.25,0.0,AK,quantile
2022-01-10,1 week ahead inc flu hosp,2022-01-15,0.3,0.0,AK,quantile
2022-01-10,2 week ahead inc flu hosp,2022-01-22,0.3,0.0,AK,quantile
